59560
2.5,1,1
3.3,3,1
6.0,0,1
6.5,1,1
7.1,2,1
9.8,1,1
10.3,0,1
11.3,2,1
12.9,3,1
13.5,2,1
14.3,0,1
14.5,1,1
14.7,2,1
15.1,3,1
17.2,2,1
18.0,0,1
18.3,1,1
19.6,2,1
21.6,0,1
23.3,3,1
23.6,2,1
24.1,0,1
24.5,1,1
25.0,3,1
26.4,0,1
26.9,2,1
28.6,3,1
31.3,1,1
32.3,0,1
34.3,2,1
39.8,1,1
35.3,0,1
36.1,3,1
38.3,2,1
38.9,1,1
39.4,3,1
40.2,1,1
41.3,0,1
42.0,1,1
42.4,2,1
42.9,3,1
43.4,2,1
43.8,0,1
46.0,1,1
46.6,2,1
47.9,0,1
48.5,1,1
49.1,3,1
50.1,1,1
51.7,0,1
52.2,1,1
52.8,2,1
53.3,0,1
53.8,3,1
54.9,1,1
55.6,2,1
57.5,0,1
